DATE,RELEASES,INDUSTRY,DESCRIPTION,URL (IF APPLICABLE,SOCIALS (IF APPLICABLE,SVG
2025,All The Best,"E-COMMERCE, ART & DESIGN",Online store offering customized postcards and curated modern art.,,,all-the-best.svg
2025,The Collection,WEB DESIGN,AI-driven company that converts affluent individuals into members of an exclusive private club.,,,the-collection.svg
2025,LNPWRLD,WEB DESIGN & DEVELOPMENT,High-end graphic design portfolio and digital archive.,,,lnpwrld.svg
2025,AM / SIZED,WEB DESIGN & DEVELOPMENT,"Interior design and spatial curation portfolio, showcasing modern projects and installations.",,,am-sized.svg
2025,i'm lazy,"WEB DEVELOPMENT, HOBBY PROJECT",Randomizer tool that generates unique font and color palette pairings.,https://im-lazy.vercel.app/,,im-lazy.svg
2025,HEATMAP,"WEB DEVELOPMENT, HOBBY PROJECT","Downloadable, interactive heatmap tool attracting hundreds of monthly users.",https://v0-us-state-heatmap.vercel.app/,,heatmap.svg
2023,tennismenace.,"SPORTS, DATA, EDITORIAL, SOCIAL MEDIA, WEB DESIGN",Multi-platform tennis analysis and betting insight hub with an active community and over 20M impressions in 2025.,https://tmtennis.co/,https://x.com/tmtennisx,tennismenace.svg
2022,Frank,"E-COMMERCE, WEB DESIGN & DEVELOPMENT",NYC-based apparel brand blending humor and modern culture.,https://frank-sigma.vercel.app/,,frank.svg
